question_id,question,type,option_a,option_b,option_c,option_d,option_e,correct_option,reverse_scored,weight,subscale,notes
78,My ideal work schedule would be:,likert,,,,,,,false,1,,
79,"When solving problems, I prefer to:",likert,,,,,,,false,1,,
80,I am most productive when:,likert,,,,,,,false,1,,
81,I prefer feedback that is:,likert,,,,,,,false,1,,
82,My ideal workspace would be:,likert,,,,,,,false,1,,
83,I prefer to receive instructions that are:,likert,,,,,,,false,1,,
84,"When working on long-term projects, I",likert,,,,,,,false,1,,
85,I am most motivated by:,likert,,,,,,,false,1,,
86,I handle stress best when I can:,likert,,,,,,,false,1,,
87,I prefer meetings that are:,likert,,,,,,,false,1,,
88,"When learning new skills, I prefer:",likert,,,,,,,false,1,,
89,I work best with supervisors who:,likert,,,,,,,false,1,,
90,My ideal work pace is:,likert,,,,,,,false,1,,
91,I prefer to communicate through:,likert,,,,,,,false,1,,
92,"When making decisions at work, I",likert,,,,,,,false,1,,
93,I am most satisfied when my work:,likert,,,,,,,false,1,,
94,I prefer recognition that is:,likert,,,,,,,false,1,,
95,"When conflicts arise at work, I",likert,,,,,,,false,1,,
96,My ideal career path would involve:,likert,,,,,,,false,1,,
97,"When working in a group, I naturally take charge.",likert,,,,,,,false,1,,
98,I enjoy organizing events and activities for others.,likert,,,,,,,false,1,,
99,People often come to me for advice and guidance.,likert,,,,,,,false,1,,
100,I feel comfortable speaking in front of large groups.,likert,,,,,,,false,1,,
101,I can easily motivate others to work toward a goal.,likert,,,,,,,false,1,,
102,I prefer to influence others through persuasion rather than authority.,likert,,,,,,,false,1,,
103,I enjoy teaching and mentoring others.,likert,,,,,,,false,1,,
104,I am good at mediating conflicts between people.,likert,,,,,,,false,1,,
105,I feel responsible for the success of my team.,likert,,,,,,,false,1,,
106,I can adapt my communication style to different people.,likert,,,,,,,false,1,,
107,I notice when someone in a group is being left out.,likert,,,,,,,false,1,,
108,I encourage others to share their ideas and opinions.,likert,,,,,,,false,1,,
109,I am willing to make unpopular decisions when necessary.,likert,,,,,,,false,1,,
110,I can remain calm when others are upset or angry.,likert,,,,,,,false,1,,
111,I enjoy bringing people together for common causes.,likert,,,,,,,false,1,,
112,I am good at delegating tasks to others.,likert,,,,,,,false,1,,
113,I can see potential in people that others might miss.,likert,,,,,,,false,1,,
114,I am comfortable with being in positions of authority.,likert,,,,,,,false,1,,
115,I enjoy networking and building professional relationships.,likert,,,,,,,false,1,,
116,I can give constructive criticism without hurting feelings.,likert,,,,,,,false,1,,
117,I am good at reading social situations and group dynamics.,likert,,,,,,,false,1,,
118,I take initiative when I see something needs to be done.,likert,,,,,,,false,1,,
119,I can work effectively with people from different backgrounds.,likert,,,,,,,false,1,,
120,I enjoy celebrating others' achievements and successes.,likert,,,,,,,false,1,,
